title,link
Heavyweight stocks in Seoul fall in volatile trade amid political chaos,https://www.cnbc.com/2024/12/04/south-koreas-kospi-heavyweights-fall-in-volatile-trade-amid-political-chaos-.html
Australia’s third-quarter GDP grows at a slower-than-expected 0.3% amid higher rates and sticky inflation,https://www.cnbc.com/2024/12/04/australia-third-quarter-gdp-grows-at-0point3percent-missing-expectations.html
"U.S. stocks began December chilly, but will probably warm up soon",https://www.cnbc.com/2024/12/04/cnbc-daily-open-us-stocks-began-december-chilly.html
"Salesforce surges on revenue beat, AI prospects – here’s our new price target",https://www.cnbc.com/2024/12/03/cramers-investing-clubs-new-price-target-on-salesforce-crm-after-earnings.html
Wednesday’s stock stories: What’s likely to move the market in the next session,https://www.cnbc.com/2024/12/03/wednesdays-big-stock-stories-whats-likely-to-move-the-market.html
"Amid political chaos, Bank of Korea says it will boost short-term liquidity and deploy measures to stabilize the FX market",https://www.cnbc.com/2024/12/04/bank-of-korea-to-hold-emergency-meeting-after-yoon-lifts-martial-law.html
Singles say this is the No. 1 type of person they want to date in 2025,https://www.cnbc.com/2024/12/03/single-women-are-looking-for-a-golden-retriever-boyfriend-in-2025.html
Cramer’s Lightning Round: LandBridge is ‘a winner’,https://www.cnbc.com/2024/12/03/cramers-lightning-round-landbridge-is-a-winner.html
"The market may have set expectations for rate cuts too high, Jim Cramer says",https://www.cnbc.com/2024/12/03/market-may-have-set-expectations-for-rate-cuts-too-high-jim-cramer-says.html
South Korea stocks down around 2% after President Yoon imposes and then lifts martial law,https://www.cnbc.com/2024/12/04/asia-markets-set-to-open-mixed-as-south-korea-grapples-with-political-turmoil-amid-martial-law-flip-flop.html
"The U.S. may have reached ‘high water mark’ in China tensions, Jim Cramer says",https://www.cnbc.com/2024/12/03/jim-cramer-us-may-have-reached-high-water-mark-in-china-tensions.html
"As global defense spending surges, South Korean arms makers look like a clear winner",https://www.cnbc.com/2024/12/04/as-global-defense-spending-surges-south-korean-arms-makers-look-like-a-clear-winner-.html
I visited 40 countries with my parents. Our disasters are now our best memories,https://www.cnbc.com/2024/12/04/traveling-with-your-parents-how-mishaps-become-great-memories-.html
‘We really like the U.S.’ Julius Baer portfolio manager says. Here’s where she sees opportunity,https://www.cnbc.com/2024/12/04/julius-baer-portfolio-manager-reveals-opportunities-she-sees-in-us.html
Here’s how investors are trading France’s political chaos,https://www.cnbc.com/2024/12/04/heres-how-investors-are-trading-frances-political-chaos.html
Stock futures are little changed after S&P 500 inches higher to a fresh record close,https://www.cnbc.com/2024/12/03/stock-market-today-live-updates.html
Florida woman who led a nearly $200 million Ponzi scheme sentenced to 20 years in prison,https://www.cnbc.com/2024/12/03/florida-prison-sentence-ponzi-scheme-business.html
"Stocks making the biggest moves after hours: Salesforce, Okta, Box and more",https://www.cnbc.com/2024/12/03/stocks-making-the-biggest-moves-after-hours-crm-okta-box-and-more.html
"Okta shares pop 18% on earnings beat, strong guidance",https://www.cnbc.com/2024/12/03/okta-okta-q3-earnings-2024.html
"Salesforce shares rise after earnings beat on revenue, fourth-quarter guidance",https://www.cnbc.com/2024/12/03/salesforce-crm-q3-earnings-report-2025.html
"Trump agrees to DOJ background checks on administration nominees, appointments",https://www.cnbc.com/2024/12/03/trump-background-checks-patel-hegseth.html
Peter Thiel’s Founders Fund loses one of first partners to emeritus role,https://www.cnbc.com/2024/12/03/peter-thiels-founders-fund-loses-early-partner-brian-singerman.html
Bill Gates: This book is ‘perfect read for the holidays’—and 4 other recommendations,https://www.cnbc.com/2024/12/03/bill-gates-holiday-reading-list-2024-books-to-keep-you-warm-in-winter.html
"Traders brace for Friday’s jobs report, but Trump’s next move may matter more",https://www.cnbc.com/2024/12/03/traders-brace-for-fridays-jobs-report-but-trumps-next-move-may-matter-more.html
Mike Bloomberg warns making RFK Jr. HHS secretary risks killing Americans,https://www.cnbc.com/2024/12/03/mike-bloomberg-rfk-jr-hhs-trump.html
OpenAI hires first marketing chief from Coinbase,https://www.cnbc.com/2024/12/03/openai-hires-first-marketing-chief-from-coinbase.html
Modelo brewer Constellation Brands’ Svedka sale is a positive move for the stock,https://www.cnbc.com/2024/12/03/modelo-brewer-constellation-brands-sale-of-svedka-vodka-is-positive.html
Ramp up tax savings for the holiday season with these strategies,https://www.cnbc.com/2024/12/03/ramp-up-tax-savings-for-the-holiday-season-with-these-strategies.html
Medicare open enrollment ends Dec. 7. These last-minute tips can help,https://www.cnbc.com/2024/12/03/medicare-open-enrollment-ends-dec-7-these-last-minute-tips-can-help.html
Nvidia is not the biggest AI winner two years after ChatGPT’s debut,https://www.cnbc.com/2024/12/03/nvidia-isnt-the-biggest-ai-winner-two-years-after-chatgpts-debut-.html
